trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences
S1_V2_historical_claude-sonnet_rep3,S1,V2,2,historical,claude-sonnet,3,0.1989,0.005941,-0.5368,0.014682,0.9286,20,20,32
S1_V2_historical_claude-sonnet_rep4,S1,V2,2,historical,claude-sonnet,4,0.1528,0.035335,-0.6802,0.000966,0.7857,20,20,35
S1_V2_historical_gpt-4o_rep0,S1,V2,2,historical,gpt-4o,0,0.2038,0.004808,-0.5937,0.005784,0.9286,20,20,40
S1_V2_historical_gpt-4o_rep1,S1,V2,2,historical,gpt-4o,1,0.2522,0.000447,-0.5293,0.016407,0.9286,20,20,42
S1_V2_historical_gpt-4o_rep2,S1,V2,2,historical,gpt-4o,2,0.1811,0.012386,-0.557,0.010738,0.8571,20,20,42
S1_V2_historical_gpt-4o_rep3,S1,V2,2,historical,gpt-4o,3,0.1873,0.009664,-0.5357,0.014907,0.9643,20,20,42
S1_V2_historical_gpt-4o_rep4,S1,V2,2,historical,gpt-4o,4,0.2682,0.000183,-0.4576,0.042504,0.9286,20,20,40
S1_V2_formal_claude-sonnet_rep0,S1,V2,2,formal,claude-sonnet,0,0.0828,0.25583,-0.5708,0.008578,0.9643,20,20,13
S1_V2_formal_claude-sonnet_rep1,S1,V2,2,formal,claude-sonnet,1,0.1358,0.061769,-0.4825,0.031201,0.7857,20,20,24
S1_V2_formal_claude-sonnet_rep2,S1,V2,2,formal,claude-sonnet,2,0.1896,0.008787,-0.4129,0.070414,1.0,20,20,21
S1_V2_formal_claude-sonnet_rep3,S1,V2,2,formal,claude-sonnet,3,0.2033,0.004904,-0.4537,0.044509,1.0,20,20,10
S1_V2_formal_claude-sonnet_rep4,S1,V2,2,formal,claude-sonnet,4,0.1885,0.009191,-0.5496,0.012066,0.9643,20,20,9
S1_V2_formal_gpt-4o_rep0,S1,V2,2,formal,gpt-4o,0,0.1244,0.087152,-0.8173,1.1e-05,1.0,20,20,58
S1_V2_formal_gpt-4o_rep1,S1,V2,2,formal,gpt-4o,1,0.1868,0.009863,-0.7419,0.000181,1.0,20,20,47
S1_V2_formal_gpt-4o_rep2,S1,V2,2,formal,gpt-4o,2,0.1416,0.051324,-0.8043,1.9e-05,1.0,20,20,30
S1_V2_formal_gpt-4o_rep3,S1,V2,2,formal,gpt-4o,3,0.1889,0.009064,-0.7014,0.000568,1.0,20,20,57
S1_V2_formal_gpt-4o_rep4,S1,V2,2,formal,gpt-4o,4,0.1908,0.008354,-0.7662,8.2e-05,1.0,20,20,58
S1_V3_causal_claude-sonnet_rep0,S1,V3,3,causal,claude-sonnet,0,0.0508,0.486129,-0.48,0.032222,0.6429,17,20,48
S1_V3_causal_claude-sonnet_rep1,S1,V3,3,causal,claude-sonnet,1,-0.0685,0.347594,-0.7007,0.000579,0.9286,19,20,24
S1_V3_causal_claude-sonnet_rep2,S1,V3,3,causal,claude-sonnet,2,0.2291,0.001475,-0.1698,0.474188,0.7857,18,20,37
S1_V3_causal_claude-sonnet_rep3,S1,V3,3,causal,claude-sonnet,3,0.153,0.03503,-0.3784,0.099961,0.75,17,20,31
S1_V3_causal_claude-sonnet_rep4,S1,V3,3,causal,claude-sonnet,4,0.0961,0.187399,-0.2712,0.247462,0.6429,15,20,36
S1_V3_causal_gpt-4o_rep0,S1,V3,3,causal,gpt-4o,0,0.3029,2.2e-05,-0.5329,0.015544,0.9643,20,20,37
S1_V3_causal_gpt-4o_rep1,S1,V3,3,causal,gpt-4o,1,0.308,1.5e-05,-0.5438,0.013192,1.0,20,20,39
S1_V3_causal_gpt-4o_rep2,S1,V3,3,causal,gpt-4o,2,0.3713,0.0,-0.4133,0.070078,0.9286,20,20,41
S1_V3_causal_gpt-4o_rep3,S1,V3,3,causal,gpt-4o,3,0.3009,2.5e-05,-0.4627,0.039941,0.9286,20,20,39
S1_V3_causal_gpt-4o_rep4,S1,V3,3,causal,gpt-4o,4,0.3028,2.2e-05,-0.5329,0.015544,0.9643,20,20,40
