trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences
S2_V3_historical_gpt-4o_rep4,S2,V3,3,historical,gpt-4o,4,0.3946,0.0,-0.4281,0.0597,0.9615,20,20,47
S2_V3_formal_claude-sonnet_rep0,S2,V3,3,formal,claude-sonnet,0,0.4371,0.0,-0.3342,0.149763,0.9615,20,20,35
S2_V3_formal_claude-sonnet_rep1,S2,V3,3,formal,claude-sonnet,1,0.1898,0.008731,-0.295,0.206653,1.0,20,20,33
S2_V3_formal_claude-sonnet_rep2,S2,V3,3,formal,claude-sonnet,2,0.2387,0.000909,-0.295,0.206653,0.8077,17,20,29
S2_V3_formal_claude-sonnet_rep3,S2,V3,3,formal,claude-sonnet,3,0.288,5.6e-05,-0.3213,0.167236,0.7308,20,20,22
S2_V3_formal_claude-sonnet_rep4,S2,V3,3,formal,claude-sonnet,4,0.278,0.000103,-0.4304,0.058208,1.0,20,20,32
S2_V3_formal_gpt-4o_rep0,S2,V3,3,formal,gpt-4o,0,0.4567,0.0,-0.251,0.28569,0.9231,19,20,30
S2_V3_formal_gpt-4o_rep1,S2,V3,3,formal,gpt-4o,1,0.3586,0.0,-0.4069,0.07498,0.9615,20,20,35
S2_V3_formal_gpt-4o_rep2,S2,V3,3,formal,gpt-4o,2,0.4363,0.0,-0.3087,0.185435,0.9231,20,20,30
S2_V3_formal_gpt-4o_rep3,S2,V3,3,formal,gpt-4o,3,0.2294,0.001451,-0.2374,0.313634,0.9615,20,20,31
S2_V3_formal_gpt-4o_rep4,S2,V3,3,formal,gpt-4o,4,0.4699,0.0,-0.1355,0.569003,1.0,20,20,26
S3_V0_none_claude-sonnet_rep0,S3,V0,0,none,claude-sonnet,0,-0.0504,0.490112,0.1723,0.467498,1.0,20,20,41
S3_V0_none_claude-sonnet_rep1,S3,V0,0,none,claude-sonnet,1,-0.0858,0.239316,-0.0582,0.807438,1.0,20,20,41
S3_V0_none_claude-sonnet_rep2,S3,V0,0,none,claude-sonnet,2,-0.0338,0.643766,0.2903,0.214454,1.0,20,20,41
S3_V0_none_claude-sonnet_rep3,S3,V0,0,none,claude-sonnet,3,-0.026,0.721978,-0.0253,0.915577,1.0,20,20,41
S3_V0_none_claude-sonnet_rep4,S3,V0,0,none,claude-sonnet,4,-0.109,0.134361,-0.1017,0.669634,1.0,20,20,41
S3_V0_none_gpt-4o_rep0,S3,V0,0,none,gpt-4o,0,-0.0076,0.916895,-0.2265,0.336987,1.0,20,20,41
S3_V0_none_gpt-4o_rep1,S3,V0,0,none,gpt-4o,1,0.0105,0.885225,0.1864,0.431382,1.0,20,20,41
S3_V0_none_gpt-4o_rep2,S3,V0,0,none,gpt-4o,2,0.0746,0.306335,-0.0314,0.895512,1.0,20,20,41
S3_V0_none_gpt-4o_rep3,S3,V0,0,none,gpt-4o,3,-0.0609,0.40358,0.1221,0.608026,1.0,20,20,41
S3_V0_none_gpt-4o_rep4,S3,V0,0,none,gpt-4o,4,0.0232,0.751141,-0.0533,0.823371,1.0,20,20,41
S3_V1_none_claude-sonnet_rep0,S3,V1,1,none,claude-sonnet,0,0.2356,0.001064,-0.3495,0.130953,0.7407,19,20,25
S3_V1_none_claude-sonnet_rep1,S3,V1,1,none,claude-sonnet,1,0.2952,3.5e-05,0.0015,0.994942,0.6296,17,20,25
S3_V1_none_claude-sonnet_rep2,S3,V1,1,none,claude-sonnet,2,0.2096,0.003701,-0.2816,0.229044,0.7407,19,20,25
S3_V1_none_claude-sonnet_rep3,S3,V1,1,none,claude-sonnet,3,0.1672,0.021146,-0.1748,0.461055,0.4815,18,20,21
S3_V1_none_claude-sonnet_rep4,S3,V1,1,none,claude-sonnet,4,0.2649,0.000222,-0.2443,0.299196,0.7037,18,20,24
S3_V1_none_gpt-4o_rep0,S3,V1,1,none,gpt-4o,0,0.3515,1e-06,0.1407,0.553964,0.8889,19,20,14
S3_V1_none_gpt-4o_rep1,S3,V1,1,none,gpt-4o,1,0.5389,0.0,-0.0281,0.906228,0.9259,19,20,14
S3_V1_none_gpt-4o_rep2,S3,V1,1,none,gpt-4o,2,0.2961,3.4e-05,-0.0258,0.914064,0.8889,19,20,14
S3_V1_none_gpt-4o_rep3,S3,V1,1,none,gpt-4o,3,0.2662,0.000205,-0.1996,0.398784,0.6667,19,20,17
S3_V1_none_gpt-4o_rep4,S3,V1,1,none,gpt-4o,4,0.2318,0.001293,-0.0038,0.987345,0.8148,18,20,17
S3_V2_causal_claude-sonnet_rep0,S3,V2,2,causal,claude-sonnet,0,0.0631,0.386944,-0.3219,0.16638,0.9259,19,20,10
S3_V2_causal_claude-sonnet_rep1,S3,V2,2,causal,claude-sonnet,1,0.2099,0.003656,-0.1389,0.559318,0.963,20,20,11
S3_V2_causal_claude-sonnet_rep2,S3,V2,2,causal,claude-sonnet,2,0.0688,0.34538,-0.5836,0.006903,1.0,20,20,10
S3_V2_causal_claude-sonnet_rep3,S3,V2,2,causal,claude-sonnet,3,0.0527,0.470479,-0.2549,0.278082,1.0,20,20,11
S3_V2_causal_claude-sonnet_rep4,S3,V2,2,causal,claude-sonnet,4,0.228,0.001557,-0.142,0.550289,1.0,20,20,18
S3_V2_causal_gpt-4o_rep0,S3,V2,2,causal,gpt-4o,0,0.3414,1e-06,-0.1467,0.537139,0.9259,19,20,61
S3_V2_causal_gpt-4o_rep1,S3,V2,2,causal,gpt-4o,1,0.1974,0.006329,-0.4223,0.063625,1.0,20,20,70
S3_V2_causal_gpt-4o_rep2,S3,V2,2,causal,gpt-4o,2,0.2598,0.000294,-0.1242,0.601889,0.8889,20,20,36
S3_V2_causal_gpt-4o_rep3,S3,V2,2,causal,gpt-4o,3,0.2781,0.000102,-0.224,0.342442,0.9259,20,20,45
S3_V2_causal_gpt-4o_rep4,S3,V2,2,causal,gpt-4o,4,0.3279,4e-06,-0.3764,0.101874,1.0,20,20,74
S3_V2_practical_claude-sonnet_rep0,S3,V2,2,practical,claude-sonnet,0,0.5038,0.0,0.0706,0.767368,0.7037,20,20,21
S3_V2_practical_claude-sonnet_rep1,S3,V2,2,practical,claude-sonnet,1,0.4035,0.0,-0.2595,0.269212,0.9259,20,20,17
S3_V2_practical_claude-sonnet_rep2,S3,V2,2,practical,claude-sonnet,2,0.4384,0.0,-0.2079,0.379169,1.0,20,20,15
S3_V2_practical_claude-sonnet_rep3,S3,V2,2,practical,claude-sonnet,3,0.2526,0.000437,-0.4209,0.06458,0.963,20,20,24
S3_V2_practical_claude-sonnet_rep4,S3,V2,2,practical,claude-sonnet,4,0.0868,0.233924,-0.0162,0.946104,0.7778,20,20,19
S3_V2_practical_gpt-4o_rep0,S3,V2,2,practical,gpt-4o,0,0.1517,0.036647,0.0597,0.802529,0.2963,20,20,32
S3_V2_practical_gpt-4o_rep1,S3,V2,2,practical,gpt-4o,1,0.2753,0.000121,0.0794,0.739431,0.2963,20,20,43
S3_V2_practical_gpt-4o_rep2,S3,V2,2,practical,gpt-4o,2,0.5963,0.0,-0.0072,0.976022,0.5185,20,20,24
S3_V2_practical_gpt-4o_rep3,S3,V2,2,practical,gpt-4o,3,0.3885,0.0,0.0132,0.955844,0.1111,19,20,59
S3_V2_practical_gpt-4o_rep4,S3,V2,2,practical,gpt-4o,4,0.6445,0.0,-0.2509,0.286066,0.8148,20,20,67
S3_V2_historical_claude-sonnet_rep0,S3,V2,2,historical,claude-sonnet,0,0.1942,0.007259,-0.707,0.000491,0.3333,20,20,27
S3_V2_historical_claude-sonnet_rep1,S3,V2,2,historical,claude-sonnet,1,0.1354,0.062518,-0.7876,3.8e-05,0.3704,20,20,46
S3_V2_historical_claude-sonnet_rep2,S3,V2,2,historical,claude-sonnet,2,0.0,1.0,0.0,1.0,1.0,20,20,8
S3_V2_historical_claude-sonnet_rep3,S3,V2,2,historical,claude-sonnet,3,0.3051,1.9e-05,-0.6579,0.001618,0.963,20,20,27
S3_V2_historical_claude-sonnet_rep4,S3,V2,2,historical,claude-sonnet,4,0.1806,0.012624,-0.5223,0.018154,0.4444,19,20,46
S3_V2_historical_gpt-4o_rep0,S3,V2,2,historical,gpt-4o,0,0.281,8.6e-05,-0.341,0.141144,1.0,20,20,43
S3_V2_historical_gpt-4o_rep1,S3,V2,2,historical,gpt-4o,1,0.3385,2e-06,-0.3771,0.101178,0.6667,20,20,42
S3_V2_historical_gpt-4o_rep2,S3,V2,2,historical,gpt-4o,2,0.2506,0.000488,-0.2756,0.23952,0.9259,20,20,58
S3_V2_historical_gpt-4o_rep3,S3,V2,2,historical,gpt-4o,3,0.3087,1.5e-05,-0.5609,0.01008,0.7407,20,20,42
S3_V2_historical_gpt-4o_rep4,S3,V2,2,historical,gpt-4o,4,0.3226,6e-06,-0.3166,0.17376,0.9259,20,20,42
S3_V2_formal_claude-sonnet_rep0,S3,V2,2,formal,claude-sonnet,0,-0.0417,0.5681,0.1157,0.627008,1.0,20,20,18
S3_V2_formal_claude-sonnet_rep1,S3,V2,2,formal,claude-sonnet,1,0.0,1.0,0.0,1.0,1.0,20,20,17
S3_V2_formal_claude-sonnet_rep2,S3,V2,2,formal,claude-sonnet,2,0.0393,0.589943,0.3028,0.194421,1.0,20,20,21
S3_V2_formal_claude-sonnet_rep3,S3,V2,2,formal,claude-sonnet,3,0.0,1.0,0.0,1.0,1.0,20,20,22
S3_V2_formal_claude-sonnet_rep4,S3,V2,2,formal,claude-sonnet,4,-0.0669,0.35919,0.3995,0.080995,1.0,20,20,15
S3_V2_formal_gpt-4o_rep0,S3,V2,2,formal,gpt-4o,0,0.0,1.0,0.0,1.0,1.0,20,20,24
S3_V2_formal_gpt-4o_rep1,S3,V2,2,formal,gpt-4o,1,0.0,1.0,0.0,1.0,1.0,20,20,29
S3_V2_formal_gpt-4o_rep2,S3,V2,2,formal,gpt-4o,2,0.2083,0.003935,-0.3948,0.084933,0.963,20,20,36
S3_V2_formal_gpt-4o_rep3,S3,V2,2,formal,gpt-4o,3,0.2021,0.005179,-0.3948,0.084933,1.0,20,20,35
S3_V2_formal_gpt-4o_rep4,S3,V2,2,formal,gpt-4o,4,0.1752,0.015608,-0.3948,0.084933,1.0,20,20,41
S3_V3_causal_claude-sonnet_rep0,S3,V3,3,causal,claude-sonnet,0,0.2349,0.001108,-0.2495,0.288707,0.9259,20,20,34
S3_V3_causal_claude-sonnet_rep1,S3,V3,3,causal,claude-sonnet,1,0.272,0.000147,-0.1781,0.452484,0.7407,17,20,38
S3_V3_causal_claude-sonnet_rep2,S3,V3,3,causal,claude-sonnet,2,0.1851,0.010552,-0.1166,0.62432,1.0,20,20,21
S3_V3_causal_claude-sonnet_rep3,S3,V3,3,causal,claude-sonnet,3,0.2469,0.000594,-0.1383,0.561017,0.6296,16,20,22
S3_V3_causal_claude-sonnet_rep4,S3,V3,3,causal,claude-sonnet,4,0.2474,0.000579,-0.1341,0.57309,0.9259,19,20,33
S3_V3_causal_gpt-4o_rep0,S3,V3,3,causal,gpt-4o,0,0.2018,0.005243,-0.235,0.318587,0.963,20,20,25
S3_V3_causal_gpt-4o_rep1,S3,V3,3,causal,gpt-4o,1,0.2985,2.9e-05,-0.2178,0.356207,0.963,20,20,32
S3_V3_causal_gpt-4o_rep2,S3,V3,3,causal,gpt-4o,2,0.3203,7e-06,-0.0156,0.94791,0.963,19,20,35
S3_V3_causal_gpt-4o_rep3,S3,V3,3,causal,gpt-4o,3,0.1936,0.007458,-0.186,0.432296,0.963,20,20,28
S3_V3_causal_gpt-4o_rep4,S3,V3,3,causal,gpt-4o,4,0.2795,9.4e-05,-0.042,0.860396,0.8519,19,20,36
S3_V3_practical_claude-sonnet_rep0,S3,V3,3,practical,claude-sonnet,0,0.0695,0.340948,-0.1655,0.485702,0.4074,14,20,45
S3_V3_practical_claude-sonnet_rep1,S3,V3,3,practical,claude-sonnet,1,0.2236,0.001932,0.0186,0.938115,0.9259,20,20,39
S3_V3_practical_claude-sonnet_rep2,S3,V3,3,practical,claude-sonnet,2,0.2567,0.000351,-0.1714,0.469872,0.7778,19,20,37
S3_V3_practical_claude-sonnet_rep3,S3,V3,3,practical,claude-sonnet,3,0.183,0.011517,-0.0302,0.899295,0.5185,16,20,41
S3_V3_practical_claude-sonnet_rep4,S3,V3,3,practical,claude-sonnet,4,0.229,0.001484,-0.2333,0.322218,0.7778,20,20,52
S3_V3_practical_gpt-4o_rep0,S3,V3,3,practical,gpt-4o,0,0.2674,0.000192,0.4149,0.068939,0.7037,17,20,30
S3_V3_practical_gpt-4o_rep1,S3,V3,3,practical,gpt-4o,1,0.2442,0.000685,0.0928,0.697033,0.7407,18,20,39
S3_V3_practical_gpt-4o_rep2,S3,V3,3,practical,gpt-4o,2,0.2335,0.001187,0.5849,0.00675,0.7037,18,20,24
S3_V3_practical_gpt-4o_rep3,S3,V3,3,practical,gpt-4o,3,0.3507,1e-06,0.3535,0.126216,0.6667,18,20,32
S3_V3_practical_gpt-4o_rep4,S3,V3,3,practical,gpt-4o,4,0.2239,0.0019,0.2421,0.303807,0.4074,15,20,36
S3_V3_historical_claude-sonnet_rep0,S3,V3,3,historical,claude-sonnet,0,0.0385,0.597643,-0.5861,0.006615,0.4815,20,20,73
S3_V3_historical_claude-sonnet_rep1,S3,V3,3,historical,claude-sonnet,1,0.2095,0.003724,-0.4718,0.035724,0.5926,19,20,53
S3_V3_historical_claude-sonnet_rep2,S3,V3,3,historical,claude-sonnet,2,0.2292,0.001467,-0.3212,0.167275,1.0,20,20,35
S3_V3_historical_claude-sonnet_rep3,S3,V3,3,historical,claude-sonnet,3,0.2593,0.000304,-0.0222,0.926149,0.8519,18,20,42
S3_V3_historical_claude-sonnet_rep4,S3,V3,3,historical,claude-sonnet,4,0.1879,0.009444,-0.4014,0.079381,0.6296,18,20,52
S3_V3_historical_gpt-4o_rep0,S3,V3,3,historical,gpt-4o,0,0.3113,1.2e-05,0.077,0.747011,0.7778,19,20,27
S3_V3_historical_gpt-4o_rep1,S3,V3,3,historical,gpt-4o,1,0.2035,0.004859,-0.3183,0.171372,0.5185,19,20,44
S3_V3_historical_gpt-4o_rep2,S3,V3,3,historical,gpt-4o,2,0.3639,0.0,-0.0531,0.824214,0.963,19,20,33
S3_V3_historical_gpt-4o_rep3,S3,V3,3,historical,gpt-4o,3,0.1388,0.056116,-0.0931,0.696097,0.8519,20,20,41
S3_V3_historical_gpt-4o_rep4,S3,V3,3,historical,gpt-4o,4,0.2433,0.000719,-0.0409,0.864135,0.8889,19,20,37
S3_V3_formal_claude-sonnet_rep0,S3,V3,3,formal,claude-sonnet,0,0.0033,0.963633,0.2759,0.238976,0.8519,19,20,27
S3_V3_formal_claude-sonnet_rep1,S3,V3,3,formal,claude-sonnet,1,0.1172,0.107209,-0.283,0.226683,0.6667,15,20,30
S3_V3_formal_claude-sonnet_rep2,S3,V3,3,formal,claude-sonnet,2,0.0,1.0,0.0,1.0,1.0,20,20,40
S3_V3_formal_claude-sonnet_rep3,S3,V3,3,formal,claude-sonnet,3,0.0544,0.455799,-0.303,0.19401,1.0,20,20,26
S3_V3_formal_claude-sonnet_rep4,S3,V3,3,formal,claude-sonnet,4,0.1133,0.119452,-0.3536,0.126117,0.6667,17,20,36
S3_V3_formal_gpt-4o_rep0,S3,V3,3,formal,gpt-4o,0,0.4495,0.0,-0.4128,0.070504,0.8519,19,20,32
S3_V3_formal_gpt-4o_rep1,S3,V3,3,formal,gpt-4o,1,0.1804,0.012748,0.3649,0.113639,1.0,20,20,31
S3_V3_formal_gpt-4o_rep2,S3,V3,3,formal,gpt-4o,2,0.3882,0.0,0.1687,0.477107,0.9259,20,20,27
S3_V3_formal_gpt-4o_rep3,S3,V3,3,formal,gpt-4o,3,0.3529,1e-06,-0.4948,0.026541,0.7778,19,20,28
S3_V3_formal_gpt-4o_rep4,S3,V3,3,formal,gpt-4o,4,0.3767,0.0,-0.4683,0.037308,0.8519,19,20,36
S4_V0_none_claude-sonnet_rep0,S4,V0,0,none,claude-sonnet,0,0.1035,0.155471,0.148,0.533575,1.0,20,20,41
S4_V0_none_claude-sonnet_rep1,S4,V0,0,none,claude-sonnet,1,-0.0392,0.591221,0.2799,0.232084,1.0,20,20,41
S4_V0_none_claude-sonnet_rep2,S4,V0,0,none,claude-sonnet,2,0.1974,0.006325,-0.3088,0.185249,1.0,20,20,41
S4_V0_none_claude-sonnet_rep3,S4,V0,0,none,claude-sonnet,3,0.0647,0.375188,0.0095,0.968249,1.0,20,20,41
S4_V0_none_claude-sonnet_rep4,S4,V0,0,none,claude-sonnet,4,0.1283,0.077707,-0.155,0.514025,1.0,20,20,41
S4_V0_none_gpt-4o_rep0,S4,V0,0,none,gpt-4o,0,-0.0024,0.973342,0.141,0.553182,1.0,20,20,41
S4_V0_none_gpt-4o_rep1,S4,V0,0,none,gpt-4o,1,0.0672,0.356899,-0.1275,0.592115,1.0,20,20,41
S4_V0_none_gpt-4o_rep2,S4,V0,0,none,gpt-4o,2,0.1239,0.08852,0.068,0.775758,1.0,20,20,41
S4_V0_none_gpt-4o_rep3,S4,V0,0,none,gpt-4o,3,0.166,0.02208,-0.2541,0.279692,1.0,20,20,41
S4_V0_none_gpt-4o_rep4,S4,V0,0,none,gpt-4o,4,0.1409,0.052443,-0.0751,0.753083,1.0,20,20,41
S4_V1_none_claude-sonnet_rep0,S4,V1,1,none,claude-sonnet,0,0.2719,0.000147,-0.3205,0.168334,0.8889,19,20,19
S4_V1_none_claude-sonnet_rep1,S4,V1,1,none,claude-sonnet,1,0.2555,0.000375,-0.3447,0.136698,0.9259,20,20,18
S4_V1_none_claude-sonnet_rep2,S4,V1,1,none,claude-sonnet,2,0.1735,0.016682,-0.3759,0.102375,0.9259,20,20,4
S4_V1_none_claude-sonnet_rep3,S4,V1,1,none,claude-sonnet,3,0.0,1.0,0.0,1.0,1.0,20,20,1
S4_V1_none_claude-sonnet_rep4,S4,V1,1,none,claude-sonnet,4,0.0,1.0,0.0,1.0,1.0,20,20,1
S4_V1_none_gpt-4o_rep0,S4,V1,1,none,gpt-4o,0,0.202,0.005197,-0.3469,0.134037,0.8889,19,20,20
S4_V1_none_gpt-4o_rep1,S4,V1,1,none,gpt-4o,1,0.1734,0.016728,-0.3685,0.109868,0.8889,19,20,22
S4_V1_none_gpt-4o_rep2,S4,V1,1,none,gpt-4o,2,0.1946,0.007144,-0.3483,0.13235,1.0,20,20,17
S4_V1_none_gpt-4o_rep3,S4,V1,1,none,gpt-4o,3,0.1564,0.03115,-0.2788,0.233961,0.963,20,20,19
S4_V1_none_gpt-4o_rep4,S4,V1,1,none,gpt-4o,4,0.199,0.005908,-0.3363,0.147185,0.9259,20,20,17
S4_V2_causal_claude-sonnet_rep0,S4,V2,2,causal,claude-sonnet,0,0.268,0.000186,-0.2725,0.245108,1.0,20,20,36
S4_V2_causal_claude-sonnet_rep1,S4,V2,2,causal,claude-sonnet,1,0.289,5.3e-05,-0.3381,0.144866,1.0,20,20,27
S4_V2_causal_claude-sonnet_rep2,S4,V2,2,causal,claude-sonnet,2,0.2516,0.000462,-0.305,0.19107,1.0,20,20,26
S4_V2_causal_claude-sonnet_rep3,S4,V2,2,causal,claude-sonnet,3,0.1684,0.0202,-0.339,0.143691,1.0,20,20,11
S4_V2_causal_claude-sonnet_rep4,S4,V2,2,causal,claude-sonnet,4,0.1094,0.132921,-0.4466,0.048386,1.0,20,20,10
S4_V2_causal_gpt-4o_rep0,S4,V2,2,causal,gpt-4o,0,0.1869,0.009833,-0.3539,0.125777,1.0,20,20,49
S4_V2_causal_gpt-4o_rep1,S4,V2,2,causal,gpt-4o,1,0.2089,0.003818,-0.3539,0.125777,1.0,20,20,63
S4_V2_causal_gpt-4o_rep2,S4,V2,2,causal,gpt-4o,2,0.2972,3.1e-05,-0.2555,0.276927,1.0,20,20,62
S4_V2_causal_gpt-4o_rep3,S4,V2,2,causal,gpt-4o,3,0.254,0.000406,-0.226,0.337969,1.0,20,20,63
S4_V2_causal_gpt-4o_rep4,S4,V2,2,causal,gpt-4o,4,0.2044,0.004671,-0.3327,0.151769,0.963,20,20,57
S4_V2_practical_claude-sonnet_rep0,S4,V2,2,practical,claude-sonnet,0,0.382,0.0,-0.2005,0.39664,1.0,20,20,20
S4_V2_practical_claude-sonnet_rep1,S4,V2,2,practical,claude-sonnet,1,-0.0934,0.199733,0.5096,0.021734,0.8519,20,20,29
S4_V2_practical_claude-sonnet_rep2,S4,V2,2,practical,claude-sonnet,2,0.1685,0.020097,0.1155,0.627828,0.8889,19,20,19
S4_V2_practical_claude-sonnet_rep3,S4,V2,2,practical,claude-sonnet,3,-0.1106,0.128633,0.4704,0.036359,0.963,20,20,22
S4_V2_practical_claude-sonnet_rep4,S4,V2,2,practical,claude-sonnet,4,-0.0978,0.179269,0.423,0.063154,0.963,20,20,23
S4_V2_practical_gpt-4o_rep0,S4,V2,2,practical,gpt-4o,0,0.1027,0.158731,0.1324,0.57805,0.7778,20,20,39
S4_V2_practical_gpt-4o_rep1,S4,V2,2,practical,gpt-4o,1,-0.0789,0.279032,0.5586,0.010459,0.7407,20,20,51
S4_V2_practical_gpt-4o_rep2,S4,V2,2,practical,gpt-4o,2,0.1111,0.126854,0.0152,0.949179,0.8889,20,20,34
S4_V2_practical_gpt-4o_rep3,S4,V2,2,practical,gpt-4o,3,-0.0413,0.571877,0.4431,0.050388,1.0,20,20,45
S4_V2_practical_gpt-4o_rep4,S4,V2,2,practical,gpt-4o,4,0.1386,0.056463,0.18,0.447555,0.5926,20,20,51
S4_V2_historical_claude-sonnet_rep0,S4,V2,2,historical,claude-sonnet,0,0.0151,0.836274,0.2874,0.219273,1.0,20,20,13
S4_V2_historical_claude-sonnet_rep1,S4,V2,2,historical,claude-sonnet,1,0.0706,0.332904,-0.0668,0.779526,1.0,20,20,14
S4_V2_historical_claude-sonnet_rep2,S4,V2,2,historical,claude-sonnet,2,-0.3359,2e-06,0.381,0.09746,1.0,20,20,14
S4_V2_historical_claude-sonnet_rep3,S4,V2,2,historical,claude-sonnet,3,0.4715,0.0,-0.0826,0.729158,0.6296,20,20,32
S4_V2_historical_claude-sonnet_rep4,S4,V2,2,historical,claude-sonnet,4,0.3825,0.0,-0.0072,0.975876,0.8519,20,20,27
S4_V2_historical_gpt-4o_rep0,S4,V2,2,historical,gpt-4o,0,0.2068,0.004198,-0.3667,0.111712,0.9259,20,20,43
S4_V2_historical_gpt-4o_rep1,S4,V2,2,historical,gpt-4o,1,0.2096,0.003708,-0.3525,0.127366,0.9259,20,20,44
S4_V2_historical_gpt-4o_rep2,S4,V2,2,historical,gpt-4o,2,0.3186,7e-06,-0.2699,0.249787,0.8148,20,20,44
S4_V2_historical_gpt-4o_rep3,S4,V2,2,historical,gpt-4o,3,0.3315,3e-06,-0.0895,0.707595,0.8519,20,20,46
S4_V2_historical_gpt-4o_rep4,S4,V2,2,historical,gpt-4o,4,0.2178,0.002537,-0.3321,0.152588,0.8519,20,20,44
S4_V2_formal_claude-sonnet_rep0,S4,V2,2,formal,claude-sonnet,0,0.2639,0.000234,-0.1248,0.600075,0.963,20,20,30
S4_V2_formal_claude-sonnet_rep1,S4,V2,2,formal,claude-sonnet,1,0.1594,0.028071,-0.3223,0.165827,0.963,20,20,13
S4_V2_formal_claude-sonnet_rep2,S4,V2,2,formal,claude-sonnet,2,0.1048,0.14999,-0.1866,0.43091,1.0,20,20,16
S4_V2_formal_claude-sonnet_rep3,S4,V2,2,formal,claude-sonnet,3,0.217,0.00263,-0.1051,0.659252,0.963,20,20,21
S4_V2_formal_claude-sonnet_rep4,S4,V2,2,formal,claude-sonnet,4,0.1127,0.121634,-0.295,0.206767,0.8519,19,20,20
S4_V2_formal_gpt-4o_rep0,S4,V2,2,formal,gpt-4o,0,0.2275,0.001595,-0.2827,0.227179,1.0,20,20,51
S4_V2_formal_gpt-4o_rep1,S4,V2,2,formal,gpt-4o,1,0.157,0.030572,-0.261,0.26635,1.0,20,20,32
S4_V2_formal_gpt-4o_rep2,S4,V2,2,formal,gpt-4o,2,0.1743,0.016163,-0.3397,0.142873,0.8889,20,20,54
S4_V2_formal_gpt-4o_rep3,S4,V2,2,formal,gpt-4o,3,0.1757,0.015341,-0.3313,0.153584,1.0,20,20,50
S4_V2_formal_gpt-4o_rep4,S4,V2,2,formal,gpt-4o,4,0.2121,0.003301,-0.3335,0.150772,1.0,20,20,49
S4_V3_causal_claude-sonnet_rep0,S4,V3,3,causal,claude-sonnet,0,0.1345,0.064362,-0.1444,0.543536,0.7778,18,20,43
S4_V3_causal_claude-sonnet_rep1,S4,V3,3,causal,claude-sonnet,1,0.2274,0.001603,-0.2235,0.343637,0.8148,19,20,53
S4_V3_causal_claude-sonnet_rep2,S4,V3,3,causal,claude-sonnet,2,0.0982,0.177502,-0.2005,0.39677,0.6667,17,20,41
S4_V3_causal_claude-sonnet_rep3,S4,V3,3,causal,claude-sonnet,3,0.0974,0.181036,0.0829,0.728273,0.7778,16,20,26
S4_V3_causal_claude-sonnet_rep4,S4,V3,3,causal,claude-sonnet,4,0.1356,0.062112,-0.2641,0.260585,0.8148,18,20,49
S4_V3_causal_gpt-4o_rep0,S4,V3,3,causal,gpt-4o,0,0.1242,0.087674,-0.2623,0.263851,0.8889,19,20,66
S4_V3_causal_gpt-4o_rep1,S4,V3,3,causal,gpt-4o,1,0.1977,0.006263,-0.3464,0.134634,0.9259,20,20,58
S4_V3_causal_gpt-4o_rep2,S4,V3,3,causal,gpt-4o,2,0.1617,0.02585,-0.2757,0.239375,0.8889,19,20,70
S4_V3_causal_gpt-4o_rep3,S4,V3,3,causal,gpt-4o,3,0.1713,0.018127,-0.3228,0.16505,0.9259,20,20,58
S4_V3_causal_gpt-4o_rep4,S4,V3,3,causal,gpt-4o,4,0.1502,0.038563,-0.292,0.211573,0.9259,20,20,67
S4_V3_practical_claude-sonnet_rep0,S4,V3,3,practical,claude-sonnet,0,-0.0712,0.328862,0.5476,0.012438,0.5185,13,20,20
S4_V3_practical_claude-sonnet_rep1,S4,V3,3,practical,claude-sonnet,1,-0.0673,0.356203,0.6852,0.000857,0.6296,14,20,24
S4_V3_practical_claude-sonnet_rep2,S4,V3,3,practical,claude-sonnet,2,0.0267,0.714663,0.4186,0.066232,0.4815,11,20,22
S4_V3_practical_claude-sonnet_rep3,S4,V3,3,practical,claude-sonnet,3,-0.0414,0.570755,0.3292,0.156423,0.4444,10,20,20
S4_V3_practical_claude-sonnet_rep4,S4,V3,3,practical,claude-sonnet,4,0.0306,0.675631,0.5291,0.016447,0.5556,14,20,28
S4_V3_practical_gpt-4o_rep0,S4,V3,3,practical,gpt-4o,0,-0.1336,0.066161,0.733,0.000236,0.5926,18,20,35
S4_V3_practical_gpt-4o_rep1,S4,V3,3,practical,gpt-4o,1,0.0669,0.358865,0.3034,0.193484,0.8148,18,20,37
S4_V3_practical_gpt-4o_rep2,S4,V3,3,practical,gpt-4o,2,0.2308,0.001354,-0.1567,0.50933,0.8519,20,20,45
S4_V3_practical_gpt-4o_rep3,S4,V3,3,practical,gpt-4o,3,0.0562,0.440848,0.1606,0.498796,0.5926,17,20,36
S4_V3_practical_gpt-4o_rep4,S4,V3,3,practical,gpt-4o,4,0.0669,0.35895,0.0749,0.753691,0.5556,15,20,32
S4_V3_historical_claude-sonnet_rep0,S4,V3,3,historical,claude-sonnet,0,0.1334,0.066596,0.1319,0.579413,0.7037,16,20,46
S4_V3_historical_claude-sonnet_rep1,S4,V3,3,historical,claude-sonnet,1,-0.0036,0.960777,0.0524,0.826436,0.6667,16,20,50
S4_V3_historical_claude-sonnet_rep2,S4,V3,3,historical,claude-sonnet,2,0.0938,0.19819,0.3294,0.156168,0.5926,15,20,30
