trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences,isc,isc_p,osd,ri,pd
S1_V2_practical_claude-sonnet_rep2,S1,V2,2,practical,claude-sonnet,2,0.1852,0.010539,0.0779,0.74419,0.9643,20,20,28,0.5699,0.0,0.415,0.5895,0.5793
S1_V2_practical_claude-sonnet_rep3,S1,V2,2,practical,claude-sonnet,3,0.3949,0.0,-0.0263,0.912227,0.9643,20,20,15,0.0,1.0,0.2832,0.8632,0.5475
S1_V2_practical_claude-sonnet_rep4,S1,V2,2,practical,claude-sonnet,4,0.3059,1.8e-05,0.2381,0.312089,0.9643,20,20,19,0.7277,0.0,0.3506,0.9474,0.5797
S1_V2_practical_gpt-4o_rep0,S1,V2,2,practical,gpt-4o,0,0.2991,2.8e-05,0.0898,0.706638,0.9643,20,20,60,0.1261,0.083088,0.279,0.7263,0.322
S1_V2_practical_gpt-4o_rep1,S1,V2,2,practical,gpt-4o,1,0.2483,0.00055,0.0574,0.810158,1.0,20,20,57,0.2509,0.00048,0.2651,0.7895,0.3166
S1_V2_practical_gpt-4o_rep2,S1,V2,2,practical,gpt-4o,2,0.2751,0.000122,-0.0977,0.681913,0.4286,19,20,33,0.2403,0.001548,0.3231,0.9474,0.4476
S1_V2_practical_gpt-4o_rep3,S1,V2,2,practical,gpt-4o,3,0.2702,0.000163,0.0599,0.801969,1.0,20,20,62,0.2689,0.000176,0.2717,0.6421,0.3069
S1_V2_practical_gpt-4o_rep4,S1,V2,2,practical,gpt-4o,4,0.258,0.000326,0.1659,0.484518,1.0,20,20,59,0.3022,2.3e-05,0.2938,0.8632,0.3297
S1_V2_historical_claude-sonnet_rep0,S1,V2,2,historical,claude-sonnet,0,0.0,1.0,0.0,1.0,1.0,20,20,9,0.0,1.0,0.2848,0.9474,0.5618
S1_V2_historical_claude-sonnet_rep1,S1,V2,2,historical,claude-sonnet,1,0.1876,0.009527,-0.5714,0.00849,0.8929,20,20,33,0.1829,0.01152,0.4031,0.8316,0.5545
